# TEST CONFIGURATION BEGIN
# FileStream(filename='export_dataframe_0v4.csv', target_idx=-1, n_targets=1, cat_features=None)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='gini', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=10000, metrics=['accuracy', 'true_vs_predicted'], n_wait=200, output_file='summary_ht_balanced.txt', pretrain_size=10000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HAT],current_acc_[HAT],true_value,predicted_value_[HT],predicted_value_[HAT]
104000,0.830947,0.800000,0.830600,0.800000,1.000000,0.000000,0.000000
105000,0.830510,0.810000,0.830042,0.800000,1.000000,0.000000,0.000000
106000,0.830258,0.785000,0.829928,0.790000,0.000000,0.000000,0.000000
107000,0.829776,0.820000,0.829347,0.790000,0.000000,0.000000,0.000000
108000,0.829697,0.860000,0.829172,0.860000,0.000000,0.000000,0.000000
109000,0.829520,0.855000,0.828890,0.850000,0.000000,0.000000,0.000000
110000,0.829465,0.825000,0.828762,0.800000,0.000000,0.000000,0.000000
111000,0.829245,0.810000,0.828598,0.815000,0.000000,0.000000,0.000000
112000,0.829029,0.780000,0.828291,0.760000,0.000000,0.000000,0.000000
113000,0.828933,0.790000,0.828106,0.810000,0.000000,0.000000,0.000000
114000,0.828762,0.820000,0.827943,0.820000,0.000000,0.000000,0.000000
115000,0.828736,0.845000,0.827802,0.840000,0.000000,0.000000,0.000000
116000,0.828561,0.795000,0.827617,0.780000,0.000000,0.000000,0.000000
117000,0.828500,0.830000,0.827472,0.825000,0.000000,0.000000,0.000000
118000,0.828358,0.810000,0.827312,0.780000,0.000000,0.000000,1.000000
119000,0.828264,0.840000,0.827173,0.830000,0.000000,0.000000,0.000000
120000,0.828180,0.835000,0.827027,0.825000,0.000000,0.000000,0.000000
121000,0.828054,0.795000,0.826848,0.790000,0.000000,0.000000,0.000000
122000,0.827788,0.785000,0.826566,0.790000,0.000000,0.000000,0.000000
123000,0.827737,0.805000,0.826430,0.785000,0.000000,0.000000,0.000000
124000,0.827643,0.820000,0.826313,0.820000,0.000000,0.000000,0.000000
125000,0.827526,0.840000,0.826250,0.835000,0.000000,0.000000,0.000000
126000,0.827453,0.865000,0.826171,0.845000,1.000000,0.000000,0.000000
127000,0.827432,0.865000,0.826127,0.870000,0.000000,0.000000,0.000000
128000,0.827395,0.885000,0.826092,0.875000,0.000000,0.000000,0.000000
129000,0.827225,0.805000,0.825925,0.795000,0.000000,0.000000,0.000000
130000,0.827058,0.835000,0.825752,0.835000,0.000000,0.000000,0.000000
131000,0.827016,0.820000,0.825754,0.815000,0.000000,0.000000,0.000000
132000,0.826691,0.805000,0.825528,0.815000,0.000000,0.000000,0.000000
133000,0.826581,0.795000,0.825395,0.780000,1.000000,0.000000,0.000000
134000,0.826664,0.820000,0.825440,0.835000,0.000000,0.000000,0.000000
135000,0.826706,0.825000,0.825460,0.810000,0.000000,0.000000,0.000000
136000,0.826654,0.820000,0.825394,0.835000,0.000000,0.000000,0.000000
137000,0.826523,0.805000,0.825195,0.800000,0.000000,0.000000,0.000000
138000,0.826372,0.845000,0.825008,0.855000,0.000000,0.000000,0.000000
139000,0.826392,0.830000,0.825046,0.825000,0.000000,0.000000,0.000000
140000,0.826435,0.840000,0.825160,0.845000,0.000000,0.000000,0.000000
141000,0.826386,0.795000,0.825068,0.760000,0.000000,0.000000,0.000000
142000,0.826677,0.920000,0.825338,0.915000,0.000000,0.000000,0.000000
143000,0.826925,0.895000,0.825604,0.890000,0.000000,0.000000,0.000000
144000,0.826289,0.745000,0.825007,0.750000,0.000000,0.000000,0.000000
145000,0.826243,0.815000,0.825015,0.830000,0.000000,0.000000,0.000000
146000,0.826058,0.845000,0.824839,0.845000,0.000000,0.000000,0.000000
147000,0.826348,0.860000,0.825123,0.850000,0.000000,0.000000,0.000000
148000,0.826604,0.890000,0.825388,0.890000,0.000000,0.000000,0.000000
149000,0.826843,0.870000,0.825607,0.870000,0.000000,0.000000,0.000000
150000,0.827000,0.850000,0.825794,0.840000,0.000000,0.000000,0.000000
151000,0.827352,0.890000,0.826070,0.880000,0.000000,0.000000,0.000000
152000,0.827622,0.850000,0.826315,0.850000,1.000000,0.000000,0.000000
153000,0.827889,0.855000,0.826569,0.850000,0.000000,0.000000,0.000000
154000,0.828138,0.875000,0.826793,0.890000,0.000000,0.000000,0.000000
155000,0.828308,0.885000,0.826986,0.885000,0.000000,0.000000,0.000000
156000,0.828354,0.825000,0.826980,0.820000,0.000000,0.000000,0.000000
157000,0.828351,0.850000,0.826953,0.845000,0.000000,0.000000,0.000000
158000,0.828336,0.830000,0.826946,0.840000,0.000000,0.000000,0.000000
159000,0.828540,0.875000,0.827187,0.890000,0.000000,0.000000,0.000000
160000,0.828695,0.850000,0.827351,0.845000,0.000000,0.000000,0.000000
161000,0.828638,0.845000,0.827355,0.845000,0.000000,0.000000,0.000000
