# TEST CONFIGURATION BEGIN
# FileStream(filename='export_dataframe_0v4.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=1000000, max_time=1000, metrics=['accuracy', 'running_time', 'model_size'], n_wait=200, output_file='summary_ht.txt', pretrain_size=10000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
38390,0.829261,0.805000,15.401384,1.187957,16.589341,1344.929688
38590,0.829196,0.820000,15.487898,1.197107,16.685006,1341.414062
38790,0.828993,0.800000,15.556209,1.205673,16.761883,1345.976562
38990,0.829172,0.855000,15.632847,1.213365,16.846212,1346.039062
39190,0.829247,0.840000,15.699423,1.222182,16.921605,1346.101562
39390,0.829286,0.835000,15.761857,1.230130,16.991988,1350.484375
39590,0.829527,0.865000,15.837354,1.238927,17.076281,1413.257812
39790,0.829631,0.845000,15.900908,1.247971,17.148879,1413.445312
39990,0.829833,0.860000,15.977220,1.256678,17.233898,1419.125000
40190,0.829834,0.830000,16.037363,1.265624,17.302987,1471.601562
40390,0.829671,0.805000,16.102816,1.274543,17.377359,1475.976562
40590,0.830098,0.895000,16.181350,1.282084,17.463433,1476.226562
40790,0.830877,0.950000,16.245740,1.290818,17.536558,1480.734375
40990,0.831419,0.915000,16.327155,1.299796,17.626951,1480.734375
41190,0.831378,0.825000,16.389870,1.309777,17.699647,1491.226562
41390,0.831879,0.910000,16.464598,1.318131,17.782730,1491.257812
41590,0.831962,0.845000,16.547277,1.327238,17.874515,1491.382812
41790,0.832296,0.885000,16.609807,1.335935,17.945743,1495.953125
41990,0.832469,0.860000,16.672026,1.345494,18.017520,1496.015625
42190,0.832857,0.895000,16.758106,1.354269,18.112375,1496.109375
42390,0.833210,0.890000,16.820682,1.362290,18.182972,1496.140625
42590,0.833374,0.860000,16.883432,1.371702,18.255135,1496.140625
42790,0.833780,0.900000,16.967651,1.380944,18.348595,1496.171875
42990,0.833727,0.825000,17.039590,1.391560,18.431150,1497.726562
43190,0.833855,0.855000,17.114291,1.402130,18.516421,1550.007812
43390,0.834251,0.900000,17.177649,1.411915,18.589564,1602.359375
43590,0.834286,0.840000,17.255639,1.423725,18.679364,1602.484375
43790,0.834379,0.850000,17.324736,1.433662,18.758399,1606.953125
43990,0.834441,0.845000,17.406300,1.443850,18.850150,1607.109375
44190,0.834620,0.865000,17.483565,1.454911,18.938476,1607.359375
44390,0.834680,0.845000,17.564769,1.466963,19.031732,1611.804688
44590,0.834740,0.845000,17.639468,1.477317,19.116784,1598.515625
44790,0.835057,0.890000,17.700612,1.486437,19.187049,1598.546875
44990,0.835229,0.865000,17.794771,1.496671,19.291442,1598.640625
45190,0.835369,0.860000,17.859041,1.508988,19.368029,1665.234375
45390,0.835537,0.865000,17.919928,1.519739,19.439668,1665.296875
45590,0.835843,0.890000,17.996073,1.530357,19.526429,1665.390625
45790,0.836006,0.865000,18.064161,1.540658,19.604819,1665.484375
45990,0.836194,0.870000,18.139998,1.551869,19.691867,1675.609375
46190,0.836547,0.900000,18.229507,1.563290,19.792797,1675.640625
46390,0.836648,0.855000,18.302893,1.576006,19.878899,1675.734375
46590,0.836749,0.855000,18.380446,1.588540,19.968986,1675.765625
46790,0.836984,0.880000,18.461283,1.598558,20.059841,1676.695312
46990,0.837189,0.875000,18.529729,1.608040,20.137769,1687.289062
47190,0.837500,0.895000,18.604760,1.618172,20.222932,1691.695312
47390,0.837701,0.875000,18.677900,1.630996,20.308896,1691.757812
47590,0.837899,0.875000,18.753472,1.641862,20.395334,1696.257812
47790,0.837963,0.850000,18.816683,1.653095,20.469778,1696.476562
47990,0.838000,0.845000,18.891790,1.663109,20.554898,1696.570312
48190,0.838141,0.865000,18.961698,1.673125,20.634823,1706.789062
48390,0.838177,0.845000,19.025702,1.682387,20.708088,1706.820312
48590,0.838187,0.840000,19.101235,1.694186,20.795421,1703.093750
48790,0.838222,0.845000,19.163908,1.706182,20.870091,1760.195312
48990,0.838282,0.850000,19.255683,1.716080,20.971763,1764.914062
49190,0.838087,0.800000,19.331110,1.726800,21.057910,1765.101562
49390,0.837970,0.815000,19.398216,1.737628,21.135844,1775.351562
49590,0.838005,0.845000,19.477042,1.749776,21.226818,1831.921875
49790,0.838065,0.850000,19.554192,1.761290,21.315482,1832.046875
49990,0.838175,0.860000,19.629971,1.773211,21.403182,1832.046875
50190,0.838209,0.845000,19.693404,1.784345,21.477750,1836.546875
50390,0.838218,0.840000,19.780337,1.795849,21.576185,1836.546875
50590,0.838374,0.870000,19.858194,1.808408,21.666603,1836.609375
50790,0.838309,0.825000,19.924102,1.819314,21.743416,1836.609375
50990,0.838512,0.880000,19.992133,1.830510,21.822643,1836.640625
51190,0.838641,0.865000,20.075366,1.841299,21.916665,1837.789062
51390,0.838720,0.855000,20.139894,1.852649,21.992543,1842.351562
51590,0.838966,0.890000,20.202832,1.863494,22.066326,1898.765625
